"siteID","domainID","n_total","pct_biomass","pct_fungal","pct_bacterial","pct_FB","pct_stress","pct_GPGN"
"ABBY","D16",64,100,100,100,100,100,100
"BARR","D18",44,100,100,100,100,100,100
"BART","D01",178,100,100,100,100,100,100
"BLAN","D02",81,100,100,100,100,100,100
"BONA","D19",234,100,100,100,100,100,100
"CLBJ","D11",468,100,100,100,100,95.3,95.3
"CPER","D10",365,100,100,100,100,82.2,82.2
"DCFS","D09",179,100,100,100,100,100,100
"DEJU","D19",54,100,100,100,100,100,100
"DELA","D08",174,100,100,100,100,100,100
"DSNY","D03",133,100,100,100,100,100,100
"GRSM","D07",119,100,100,100,100,100,100
"GUAN","D04",443,100,100,100,100,99.8,99.8
"HARV","D01",529,100,100,100,100,100,100
"HEAL","D19",54,100,100,100,100,100,98.1
"JERC","D03",180,100,100,100,100,100,100
"JORN","D14",169,100,100,100,100,98.2,98.2
"KONA","D06",178,100,100,100,100,100,100
"KONZ","D06",467,100,100,100,100,99.6,99.6
"LAJA","D04",90,100,100,100,100,100,100
"LENO","D08",117,100,100,100,100,100,100
"MLBS","D07",118,100,100,100,100,100,100
"MOAB","D13",164,100,100,100,100,100,98.8
"NIWO","D13",510,100,100,100,100,99.6,99.8
"NOGP","D09",43,100,100,100,100,100,100
"OAES","D11",119,100,100,100,100,100,100
"ONAQ","D15",356,100,100,100,100,88.8,88.2
"ORNL","D07",503,100,100,100,100,99.8,99.6
"OSBS","D03",396,100,100,100,100,99.7,99.7
"PUUM","D20",545,100,100,100,100,100,100
"RMNP","D10",62,100,100,100,100,90.3,90.3
"SCBI","D02",453,100,100,100,100,100,100
"SERC","D02",84,100,100,100,100,97.6,97.6
"SJER","D17",472,100,100,100,100,95.3,95.3
"SOAP","D17",90,100,100,100,100,100,100
"SRER","D14",390,100,100,100,100,87.9,87.9
"STEI","D05",103,100,100,100,100,100,100
"STER","D10",122,100,100,100,100,97.5,88.5
"TALL","D08",491,100,100,100,100,100,100
"TEAK","D17",75,100,100,100,100,100,100
"TOOL","D18",142,100,100,100,100,100,99.3
"TREE","D05",62,100,100,100,100,88.7,88.7
"UKFS","D06",90,100,100,100,100,100,100
"UNDE","D05",549,100,100,100,100,100,100
"WOOD","D09",378,100,100,100,100,99.7,99.7
"WREF","D16",484,100,100,100,100,100,100
"YELL","D12",278,100,100,100,100,98.2,98.2
