"siteID","n_years","cv_biomass","cv_FB","cv_stress","cv_GPGN"
"BONA",6,23.9135209777417,34.898286039207,5.63389856683126,24.7020171444554
"CLBJ",6,13.6894203538899,20.4690556366162,41.0256199982947,29.6807426228673
"CPER",5,17.2972070431547,66.4103748586973,82.3266514409294,98.084815050267
"GUAN",7,10.4663812156132,49.0709391161378,91.9195316102008,95.0649587339196
"HARV",6,44.1815100470253,35.169451200805,13.2931398195307,26.1986465553074
"KONZ",6,62.1636544382233,50.1102136778609,43.489695085194,61.9851854150161
"NIWO",6,29.2989930684065,33.8961621212499,41.877461729324,45.6280461910765
"ONAQ",5,11.0646054486614,34.2865567959303,97.5683201158079,84.3762299981373
"ORNL",6,84.2911885378088,45.0966741314357,102.216699787982,103.327787248756
"OSBS",5,28.1586379659265,29.3925391417777,14.6673075307605,25.6333842209442
"PUUM",7,23.3498107133699,22.2155541670473,6.40362463620262,17.0324225505525
"SCBI",6,21.9056360968645,42.5592668027062,34.4971603924105,32.6258412351203
"SJER",7,41.9327252060215,79.7863480780548,99.1853660230808,92.2730383217073
"SRER",5,15.5052913512955,45.6091762776259,34.6883768536839,40.5357931422996
"TALL",6,70.3582073577061,22.9238592603569,41.0089827889532,47.5630027707625
"TOOL",5,78.6223840546727,31.6027334893116,10.3967339492271,39.609942419196
"UNDE",6,22.1793278257127,25.3520683627403,6.9671156665399,12.4444805750798
"WOOD",5,6.4728963861018,32.0453629353977,15.5086078541111,27.3003354644766
"WREF",6,12.1431325387615,25.5299171763647,6.63319430778932,12.0086426698185
"YELL",5,19.0220908032828,30.7718486265286,38.0746517723955,54.1894960936057
